1,Ford,Fiesta,1,Petrol,2002,127300,3074
2,Porsche,718 Cayman,4,Petrol,2016,57850,49704
3,Ford,Mondeo,1.6,Diesel,2014,39190,24072
4,Toyota,RAV4,1.8,Hybrid,1988,210814,1705
5,VW,Polo,1,Petrol,2006,127869,4101
6,Ford,Focus,1.4,Petrol,2018,33603,29204
7,Ford,Mondeo,1.8,Diesel,2010,86686,14350
8,Toyota,Prius,1.4,Hybrid,2015,30663,30297
9,VW,Polo,1.2,Petrol,2012,73470,9977
10,Ford,Focus,2,Diesel,1992,262514,1049
11,VW,Golf,2,Diesel,2014,83047,17173
12,BMW,Z4,2,Petrol,1990,293666,719
13,VW,Golf,1.2,Diesel,2007,92697,7792
14,Toyota,RAV4,2.2,Petrol,2007,79393,16026
15,Toyota,Yaris,1.4,Petrol,1998,97286,4046
16,VW,Golf,1.6,Diesel,1989,222390,933
17,Toyota,RAV4,2.4,Hybrid,2003,117425,11667
18,Toyota,Yaris,1.2,Petrol,1992,245990,720
19,Toyota,RAV4,2,Hybrid,2018,28381,52671
20,VW,Polo,1.2,Petrol,1998,155038,2118
21,VW,Golf,1.2,Hybrid,1987,121744,1890
22,Ford,Mondeo,1.6,Diesel,1996,77584,5667
23,Toyota,Prius,1,Hybrid,2003,115291,6512
24,Toyota,Prius,1,Hybrid,1990,238571,961
25,Porsche,911,2.6,Petrol,2009,66273,41963
26,Toyota,Prius,1.8,Hybrid,2017,31958,38961
27,Porsche,911,3.5,Petrol,2005,151556,19747
28,Toyota,Yaris,1.2,Petrol,2002,179097,2548
29,VW,Golf,2,Petrol,2020,18985,36387
30,Toyota,RAV4,1.8,Hybrid,2002,66990,13553
31,Ford,Focus,1,Hybrid,2010,85131,12472
32,Ford,Fiesta,1,Petrol,2001,144731,2503
33,VW,Polo,2,Diesel,2008,97001,8784
34,VW,Polo,1.6,Petrol,2016,52409,17257
35,Ford,Fiesta,1.4,Petrol,2010,112714,6936
36,VW,Passat,2,Diesel,1992,198540,1964
37,VW,Passat,1.8,Diesel,1989,213162,1340
38,BMW,Z4,2.2,Petrol,2005,133174,8511
39,VW,Polo,1.6,Petrol,2008,129588,5848
40,BMW,Z4,2,Petrol,1990,148586,2637
41,Ford,Focus,2,Petrol,1995,91173,5181
42,BMW,M5,4,Petrol,2017,22759,97758
43,VW,Polo,1.4,Petrol,1990,261526,522
44,VW,Passat,1.4,Diesel,1995,235594,1439
45,BMW,Z4,2,Petrol,1995,42759,7873
46,VW,Passat,1.8,Diesel,2005,103352,9633
47,VW,Passat,1.6,Petrol,2003,63372,10001
48,Toyota,Yaris,1,Petrol,2009,51787,9689
49,Ford,Fiesta,1.4,Petrol,2014,41495,14721
50,Toyota,Yaris,1.4,Petrol,2010,43111,12928
51,Ford,Fiesta,1,Diesel,2017,38370,16257
52,Toyota,RAV4,2.4,Petrol,2018,24588,49125
53,VW,Polo,1,Diesel,2000,207339,1480
54,Ford,Fiesta,1,Petrol,1990,182958,873
55,VW,Passat,1.6,Diesel,1994,114647,4008
56,VW,Polo,1,Petrol,1995,162993,1482
57,VW,Golf,1.2,Petrol,2002,139884,3713
58,Porsche,Cayenne,2.6,Diesel,2015,33693,54037
59,BMW,Z4,2.2,Petrol,2004,126777,8373
60,Ford,Fiesta,1.2,Petrol,2010,51553,9813
61,Toyota,Yaris,1,Petrol,2010,75821,8851
62,VW,Polo,1.4,Diesel,2010,45193,11881
63,VW,Polo,1.6,Petrol,1997,87723,3840
64,Ford,Focus,1.8,Petrol,1993,279656,863
65,VW,Golf,2,Hybrid,2018,25017,36957
66,Ford,Fiesta,1.2,Petrol,1996,111771,2543
67,Toyota,Prius,1.4,Hybrid,2016,43893,29946
68,Toyota,Yaris,1,Petrol,2007,118788,5306
69,Toyota,Prius,1.4,Hybrid,2016,43130,30085
70,VW,Passat,1.6,Diesel,1991,247911,1052
71,Ford,Focus,2,Petrol,1991,272161,854
72,VW,Passat,1.6,Diesel,1994,179361,2371
73,Ford,Fiesta,1,Petrol,2009,66424,7616
74,Ford,Mondeo,1.8,Diesel,1999,104544,6058
75,Toyota,Yaris,1,Hybrid,1999,80589,4937
76,Ford,Mondeo,1.4,Diesel,2000,128137,4771
77,Porsche,718 Cayman,2,Petrol,1992,169078,3074
78,VW,Passat,1.6,Petrol,2016,64344,23641
79,VW,Passat,1.6,Diesel,1993,176456,2274
80,Ford,Focus,1.4,Petrol,1985,179526,1105
81,Toyota,RAV4,1.8,Hybrid,1999,162425,5396
82,Porsche,718 Cayman,2.4,Petrol,2021,14070,69526
83,BMW,Z4,2.4,Petrol,1993,226492,1799
84,Ford,Fiesta,1.2,Petrol,1995,183332,1330
85,VW,Golf,2,Petrol,1990,118673,2543
86,Toyota,Prius,1,Hybrid,1993,333629,478
87,VW,Passat,1.8,Diesel,1991,155034,2526
88,Toyota,Yaris,1.2,Petrol,1990,200892,947
89,Ford,Focus,1.8,Petrol,2020,22371,40336
90,Ford,Mondeo,1.6,Diesel,2015,21834,28435
91,Ford,Focus,1,Petrol,1985,223615,633
92,Ford,Mondeo,1.6,Diesel,2007,100798,10008
93,BMW,Z4,2.4,Petrol,1997,103758,6532
94,Ford,Fiesta,1.2,Petrol,1997,156919,1901
95,Toyota,Yaris,1,Petrol,2008,42621,9591
96,VW,Passat,1.4,Diesel,2010,64359,15563
97,Ford,Focus,2,Petrol,2002,180048,4086
98,Ford,Mondeo,1.6,Hybrid,2005,142689,7247
99,VW,Passat,1.6,Diesel,2018,22122,36634
100,BMW,M5,4.4,Petrol,1987,226046,2956
101,Ford,Focus,1.4,Petrol,1987,236315,763
102,BMW,M5,4.4,Petrol,2008,109941,31711
103,Ford,Fiesta,1,Petrol,2009,61615,7859
104,Ford,Focus,1.8,Diesel,1989,297635,585
105,Toyota,Prius,1.8,Hybrid,1995,112413,5238
106,Ford,Fiesta,1.2,Petrol,2008,96911,6318
107,VW,Passat,1.6,Diesel,1990,223561,1229
108,VW,Passat,1.4,Diesel,2020,21413,39310
109,BMW,Z4,2.2,Petrol,2018,32319,40706
110,Toyota,RAV4,2.4,Petrol,2021,6829,66031
111,VW,Polo,1.6,Petrol,2010,108111,7878
112,Ford,Mondeo,1.6,Diesel,1998,137896,4132
113,Ford,Focus,1.6,Petrol,2013,66163,18269
114,VW,Passat,1.6,Diesel,2010,66410,16414
115,BMW,Z4,2.2,Petrol,2014,61332,26084
116,Toyota,RAV4,2.4,Petrol,2016,34379,40646
117,Porsche,911,3.5,Petrol,2003,107705,24378
118,VW,Golf,1.8,Diesel,2014,28530,23034
119,VW,Passat,1.6,Diesel,2015,57933,24207
120,BMW,Z4,2.4,Petrol,1997,146910,4671
121,Toyota,Prius,1.4,Hybrid,2001,152067,5040
122,BMW,M5,4,Petrol,2003,123913,19474
123,Toyota,RAV4,1.8,Hybrid,2005,119097,11398
124,VW,Golf,1.2,Diesel,2008,97150,8066
125,Ford,Focus,2,Petrol,2010,86405,14567
126,Toyota,Yaris,1.2,Hybrid,2001,85798,5959
127,VW,Golf,2,Diesel,2015,50628,22743
128,BMW,Z4,3,Petrol,2014,80934,26708
129,VW,Polo,1,Petrol,1998,97043,3036
130,Toyota,Yaris,1,Petrol,2001,58770,5438
131,VW,Passat,1.8,Petrol,2008,84855,12800
132,VW,Passat,1.6,Diesel,2014,50898,23677
133,Ford,Focus,1.6,Diesel,1998,152532,3704
134,Toyota,RAV4,1.8,Hybrid,2001,212899,3981
135,VW,Golf,1.6,Petrol,2001,140596,3988
136,Porsche,718 Cayman,2.4,Petrol,1988,256489,1183
137,BMW,X3,3,Petrol,2018,20441,53379
138,Toyota,Yaris,1.2,Petrol,1986,147185,1145
139,BMW,M5,4.4,Petrol,1997,172030,9255
140,Ford,Focus,1.8,Petrol,2005,149956,6094
141,VW,Passat,1.6,Diesel,2009,134426,9345
142,Toyota,RAV4,1.8,Hybrid,2010,91688,19491
143,Toyota,Prius,1.8,Hybrid,2005,41969,16500
144,VW,Passat,2,Petrol,2013,38210,25482
145,Toyota,Prius,1,Hybrid,2012,46972,19023
146,BMW,X3,2,Diesel,2018,27389,44018
147,VW,Polo,2,Petrol,1995,128234,2778
148,VW,Passat,1.4,Diesel,2008,112309,9705
149,VW,Polo,1.4,Petrol,1984,225099,489
150,Porsche,Cayenne,2.6,Diesel,2003,105361,15069
151,Ford,Focus,1.4,Petrol,2005,97979,8039
152,Ford,Mondeo,1.6,Petrol,2016,40104,26053
153,VW,Passat,2,Petrol,1993,158259,2822
154,Porsche,718 Cayman,4,Petrol,2018,20634,70913
155,BMW,Z4,2,Petrol,2010,98644,14728
156,Ford,Focus,2,Petrol,1991,176358,2025
157,Ford,Mondeo,1.8,Diesel,1998,69223,7267
158,BMW,X3,3,Petrol,2008,20860,27342
159,Toyota,RAV4,2,Petrol,2009,59936,19881
160,VW,Polo,1.4,Petrol,2012,58214,11916
161,Ford,Fiesta,1.4,Petrol,2020,33832,22982
162,VW,Golf,1.2,Diesel,2009,104436,8174
163,BMW,Z4,2,Petrol,1992,249377,1246
164,Porsche,Cayenne,2.6,Petrol,2003,143603,10667
165,Ford,Mondeo,1.8,Diesel,2007,115932,9481
166,Ford,Fiesta,1.4,Petrol,2016,61363,14854
167,VW,Polo,2,Petrol,2016,17810,23636
168,Toyota,RAV4,1.8,Hybrid,2021,8120,68163
169,VW,Polo,2,Petrol,1990,142888,1771
170,Toyota,Yaris,1,Petrol,2009,68094,8721
171,Ford,Mondeo,2,Diesel,2016,51724,28482
172,VW,Polo,1,Petrol,1998,224106,1062
173,Ford,Fiesta,1,Petrol,2009,83796,6768
174,Toyota,RAV4,2.2,Hybrid,2012,91325,24685
175,VW,Passat,2,Diesel,1997,173089,3416
176,Ford,Focus,2,Diesel,2013,75451,20153
177,Toyota,Prius,1,Hybrid,2006,103766,8671
178,Ford,Mondeo,1.6,Diesel,2014,82221,18224
179,VW,Passat,1.6,Diesel,1985,19000,4129
180,Toyota,RAV4,2.4,Hybrid,2012,94338,25232
181,Porsche,Cayenne,2.6,Diesel,2019,20147,76182
182,VW,Polo,1.2,Diesel,2018,37411,19649
183,Toyota,Yaris,1.2,Petrol,2004,179016,2914
184,Porsche,718 Cayman,2,Petrol,1999,206584,3542
185,Toyota,Prius,1,Hybrid,1996,87664,5001
186,Ford,Mondeo,1.8,Diesel,2016,29439,30886
187,Ford,Focus,1,Diesel,2006,120770,6429
188,Ford,Mondeo,1.6,Diesel,1998,246137,1614
189,Toyota,Prius,1.4,Hybrid,2012,72136,19139
190,Ford,Focus,2,Diesel,2001,147478,5272
191,BMW,Z4,2.4,Petrol,1997,149908,4558
192,BMW,M5,4.4,Petrol,1997,66783,20664
193,Ford,Mondeo,1.4,Diesel,2020,18929,37720
194,VW,Golf,1.4,Diesel,2013,53405,16365
195,VW,Golf,1.4,Diesel,2001,136439,4049
196,VW,Polo,1.2,Petrol,2001,110779,3670
197,VW,Golf,2,Petrol,1991,188856,1528
198,Toyota,Yaris,1,Hybrid,2013,12867,19025
199,Ford,Focus,2,Diesel,1994,162098,2930
200,Ford,Mondeo,1.6,Diesel,2013,79521,17370
201,Ford,Mondeo,1.8,Diesel,2011,97523,14195
202,VW,Golf,1.6,Petrol,1994,104541,3304
203,VW,Golf,1.6,Petrol,2016,57451,19835
204,Toyota,Yaris,1.2,Petrol,2003,104794,4947
205,Toyota,Yaris,1,Petrol,2002,227469,1517
206,VW,Passat,1.8,Diesel,2006,81107,12073
207,Ford,Fiesta,1.2,Petrol,2008,79566,7142
208,Toyota,Yaris,1.4,Petrol,2007,85068,8043
209,Toyota,RAV4,2,Hybrid,2000,123838,8299
210,Toyota,RAV4,2.2,Hybrid,2014,66511,33453
211,VW,Passat,1.6,Diesel,1999,207639,2584
212,BMW,X3,3,Diesel,1990,150375,3510
213,VW,Passat,1.4,Diesel,2013,70458,18256
214,Toyota,Prius,1.8,Hybrid,2016,44550,33820
215,VW,Passat,1.6,Petrol,2012,53390,19428
216,Porsche,Cayenne,2.6,Diesel,2015,46563,50028
217,Ford,Fiesta,1,Petrol,2002,184586,1916
218,Ford,Fiesta,1.2,Petrol,2004,160915,2933
219,Toyota,Yaris,1,Hybrid,2022,5179,36086
220,Toyota,Yaris,1.4,Hybrid,2003,181179,3468
221,VW,Polo,1.4,Petrol,2019,23181,23449
222,Toyota,Yaris,1.4,Hybrid,2016,66611,19942
223,VW,Golf,1.8,Hybrid,1999,105901,5810
224,Ford,Focus,1.4,Diesel,2014,24652,24721
225,Toyota,Yaris,1,Petrol,1995,255196,737
226,VW,Polo,1,Petrol,2014,24579,14089
227,Toyota,RAV4,1.8,Petrol,2021,21354,52908
228,VW,Golf,2,Petrol,1991,117615,2741
229,Ford,Focus,2,Petrol,1999,135077,4855
230,Toyota,RAV4,2,Hybrid,2006,94325,15441
231,Ford,Fiesta,1.4,Petrol,2010,96320,7831
232,VW,Golf,1.6,Petrol,1990,137231,1967
233,Toyota,RAV4,2.2,Hybrid,2015,35448,43415
234,Toyota,RAV4,2,Hybrid,1995,142544,5129
235,BMW,M5,4,Petrol,2012,46755,60859
236,VW,Polo,1.6,Petrol,2001,97700,4668
237,BMW,M5,5,Petrol,2016,42059,91415
238,VW,Polo,1.6,Petrol,2012,48576,13537
239,VW,Polo,1.4,Petrol,2006,76691,7067
240,Toyota,RAV4,1.8,Hybrid,2017,15473,50215
241,Ford,Focus,2,Petrol,2000,110549,6273
242,Ford,Fiesta,1,Petrol,1992,183342,994
243,Ford,Focus,1.4,Petrol,2012,94259,13169
244,Ford,Mondeo,1.4,Diesel,2018,42017,28904
245,VW,Golf,1.2,Petrol,1990,159547,1420
246,VW,Polo,1.4,Petrol,2000,73749,4833
247,Toyota,Yaris,1,Hybrid,2009,63292,10802
248,VW,Passat,1.4,Diesel,2013,71904,18080
249,Ford,Mondeo,1.4,Diesel,2006,159969,5504
250,Toyota,Yaris,1.2,Petrol,2013,75588,11861
251,Ford,Mondeo,1.4,Diesel,2018,18334,33119
252,VW,Polo,1.2,Petrol,1995,175506,1460
253,Toyota,Prius,1.8,Hybrid,1985,235671,949
254,VW,Polo,1,Petrol,1996,144412,1846
255,BMW,M5,4.4,Petrol,2008,79613,39453
256,BMW,M5,4.4,Petrol,2004,108396,24571
257,Porsche,Cayenne,3,Petrol,2013,68093,39031
258,Ford,Mondeo,1.6,Hybrid,2019,30152,40482
259,Porsche,911,3,Petrol,2015,44761,77091
260,Toyota,Yaris,1,Petrol,2012,52525,11780
261,Toyota,Yaris,1,Petrol,2005,145747,3754
262,Ford,Mondeo,1.8,Diesel,2016,16626,33172
263,Ford,Mondeo,1.4,Diesel,1998,155019,3364
264,Toyota,Prius,1.4,Hybrid,1996,188308,2658
265,Ford,Focus,2,Petrol,2001,72923,8773
266,VW,Golf,1.4,Diesel,2007,104718,7710
267,VW,Polo,2,Petrol,1992,258967,731
268,VW,Golf,1.2,Hybrid,2000,168963,3069
269,Ford,Focus,2,Diesel,1993,90439,4786
270,Toyota,Prius,1.4,Hybrid,1991,213652,1523
271,Toyota,RAV4,2.2,Hybrid,2012,100268,23140
272,VW,Golf,2,Petrol,2019,26479,32650
273,VW,Passat,1.4,Diesel,2009,109384,10605
274,Ford,Focus,2,Petrol,2014,39083,25884
275,VW,Passat,2,Petrol,2002,73945,9749
276,Ford,Fiesta,1.4,Petrol,2008,114007,6011
277,Toyota,Prius,1.8,Hybrid,2003,125903,8052
278,VW,Polo,1.4,Petrol,1998,126188,2884
279,Porsche,911,3,Petrol,1990,178957,5344
280,Ford,Mondeo,1.6,Diesel,1996,118258,4217
281,Toyota,Yaris,1.4,Hybrid,2004,100476,7076
282,Ford,Focus,1,Petrol,1985,288486,347
